layer_height,exposure_time,exposure_intensity,bottom_layers,bottom_exposure_intensity,lifting_speed,exposure_wait,liquid_speed,bottom_exposure_time,print_mode,needle_definition,layer_adhesion,needle_height,base_thickness,material_curing
1.395099850524256745e-02,8.877942514472701774e+00,5.861591428328502928e+01,3.000000000000000000e+00,9.907467760238432675e+01,2.791974351953234290e+00,1.979281623588519112e+00,5.440212661216807799e-01,2.904162953350225251e+01,2.000000000000000000e+00,7.000498919844098111e+01,5.588353878859172852e+01,6.490977560592530438e+01,9.496414010264993522e+01,7.863774496604197850e+01
1.554872004587213273e-02,7.982604293153332087e+00,6.472265568716166229e+01,8.000000000000000000e+00,8.632012178918324707e+01,1.887478693960428444e+00,1.963159799420671980e+00,2.068843070464571277e+00,2.905425610898304711e+01,0.000000000000000000e+00,7.449827072095935421e+01,5.002647438631048971e+01,8.821088647003242045e+01,9.090135326069079724e+01,7.880941444070448654e+01
2.294131311274074519e-02,7.689194731697074126e+00,5.879636320378921255e+01,8.000000000000000000e+00,9.190576188107243638e+01,2.314240932075902979e+00,1.418813344340206672e+00,2.806969318344785247e+00,2.674130258730416543e+01,0.000000000000000000e+00,7.202260979862809620e+01,3.418671733855490658e+01,9.177362244056075724e+01,8.777079393062041390e+01,7.070352425385686956e+01
4.298877806690555581e-02,2.449730964255921073e+00,7.172011527891370974e+01,7.000000000000000000e+00,6.566443350918036970e+01,1.891292051945804520e+00,2.831937558615938988e-01,1.505082301132746769e+00,2.024750240579608729e+01,2.000000000000000000e+00,4.514377701705701185e+01,4.869807536625427247e+01,6.664303913449390393e+01,6.928055147485994780e+01,4.698088561008740527e+01
1.974574059960857580e-02,4.030817194130529302e+00,6.946926018206346498e+01,3.000000000000000000e+00,7.210257687123345249e+01,2.911967524884201630e+00,1.384653594934679877e+00,1.053068449591129996e+00,1.690044904790178748e+01,0.000000000000000000e+00,6.205005257700391041e+01,4.802637877264145061e+01,6.783056246087981833e+01,6.667516215198044449e+01,6.123154249732011323e+01
3.473735587673174030e-02,3.066081207056069236e+00,5.138804638837158478e+01,5.000000000000000000e+00,6.410696760860294319e+01,1.453469423478267242e+00,1.001887119643636970e+00,1.367772294423460711e+00,2.092651945002403835e+01,1.000000000000000000e+00,4.605442618312493153e+01,5.788371843017580431e+01,6.479574560225471203e+01,7.246524367094832542e+01,5.506946919604220625e+01
9.684837797742605614e-02,2.332039709638850322e+00,8.579097399238378330e+01,8.000000000000000000e+00,7.594217043819347168e+01,2.345440444245188161e+00,5.091884790962345475e-01,9.685791797939318215e-01,1.555342797746311412e+01,2.000000000000000000e+00,4.016192576184596419e+01,3.426215205415601872e+01,4.993946327481426550e+01,6.978137427183575880e+01,5.290981300816108046e+01
4.797492099474617161e-02,4.093680723803885257e+00,7.441258994039611707e+01,7.000000000000000000e+00,8.321992566598891017e+01,2.514555134017041560e+00,4.739641218384892385e-01,1.935144659266978096e+00,2.594235026463935512e+01,0.000000000000000000e+00,5.882320604228921468e+01,3.572961708563067873e+01,6.684107874675456173e+01,8.549830037770102820e+01,5.456884094446478173e+01
9.140149111218129341e-02,2.931037786974828752e+00,7.468507811528715479e+01,8.000000000000000000e+00,8.009811273014493338e+01,1.437747786875855693e+00,1.970783038004205734e+00,2.028770979563521148e+00,1.066400033701977534e+01,0.000000000000000000e+00,4.388000457855937242e+01,3.182265055322919878e+01,5.350497639639038994e+01,6.236776000346345938e+01,6.745493737999011330e+01
9.058945301242858628e-02,7.552704032811663915e+00,7.520764655402757626e+01,4.000000000000000000e+00,7.083421647695574563e+01,1.702909678932917670e+00,1.694493008818791946e+00,1.208140777857800163e+00,2.455561368315564152e+01,1.000000000000000000e+00,5.884771399564360195e+01,4.216432684463845249e+01,3.972767087132882580e+01,7.614409737245364340e+01,7.611293455305509781e+01
